strain_x	hCoV-19/Australia/NSW1649/2021	hCoV-19/Australia/NSW1634/2021	hCoV-19/Australia/NSW1643/2021	hCoV-19/Australia/NSW1654/2021	hCoV-19/Australia/NSW1656/2021	hCoV-19/Australia/NSW1661/2021	hCoV-19/Australia/NSW1657/2021	hCoV-19/Australia/NSW1660/2021	hCoV-19/Australia/NSW1662/2021	hCoV-19/Australia/NSW1672/2021	hCoV-19/Australia/NSW1677/2021	hCoV-19/Australia/NSW1678/2021	hCoV-19/Australia/NSW1679/2021	hCoV-19/Australia/NSW1680/2021	hCoV-19/Australia/NSW1659/2021	hCoV-19/Australia/NSW1694/2021	hCoV-19/Australia/NSW1703/2021	hCoV-19/Australia/NSW1705/2021	hCoV-19/Australia/NSW1708/2021	hCoV-19/Australia/NSW1713/2021	hCoV-19/Australia/NSW1748/2021	hCoV-19/Australia/NSW1727/2021	hCoV-19/Australia/NSW1728/2021	hCoV-19/Australia/NSW1653/2021	hCoV-19/Australia/NSW1729/2021	hCoV-19/Australia/NSW1732/2021	hCoV-19/Australia/NSW1652/2021	hCoV-19/Australia/NSW1738/2021	hCoV-19/Australia/NSW1668/2021	hCoV-19/Australia/NSW1739/2021	hCoV-19/Australia/NSW1743/2021	hCoV-19/Australia/NSW1765/2021	hCoV-19/Australia/NSW1768/2021	hCoV-19/Australia/NSW1772/2021	hCoV-19/Australia/NSW1667/2021	hCoV-19/Australia/NSW1773/2021	hCoV-19/Australia/NSW1663/2021	hCoV-19/Australia/NSW1781/2021	hCoV-19/Australia/NSW1782/2021	hCoV-19/Australia/NSW1785/2021	hCoV-19/Australia/NSW1793/2021	hCoV-19/Australia/NSW1655/2021	hCoV-19/Australia/NSW1658/2021	hCoV-19/Australia/NSW1666/2021
hCoV-19/Australia/NSW1649/2021	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.02	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.0	0.02
hCoV-19/Australia/NSW1634/2021	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.04	0.01	0.01	0.0	0.0	0.01	0.01	0.03
hCoV-19/Australia/NSW1643/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.0	0.03
hCoV-19/Australia/NSW1654/2021	0.01	0.01	0.01	0.0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.0	0.03
hCoV-19/Australia/NSW1656/2021	0.01	0.01	0.01	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.04	0.02	0.02	0.01	0.01	0.01	0.01	0.02
hCoV-19/Australia/NSW1661/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.0	0.03
hCoV-19/Australia/NSW1657/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.0	0.03
hCoV-19/Australia/NSW1660/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.0	0.03
hCoV-19/Australia/NSW1662/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.04	0.01	0.01	0.0	0.0	0.01	0.0	0.03
hCoV-19/Australia/NSW1672/2021	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.0	0.03
